estimator,trial,beta,sign_error,mse,entropy_final,sign_prob_final
adaptive_x,20,0.0,0.34,0.13916610646410407,0.9861963707488884,0.5690557468397381
adaptive_x,21,0.0,0.45,0.14097820361000735,0.7724703225353564,0.22684475546282556
adaptive_x,22,0.0,0.34,0.14509510984935253,0.9887592168558481,0.5623348221701882
adaptive_x,23,0.0,0.25,0.22083528391401605,0.9546254796533787,0.6247398997632977
adaptive_x,24,0.0,0.56,0.3425884994360414,0.9897754803243912,0.44054270951566876
adaptive_x,25,0.0,0.77,0.22786892037026635,0.9998004839595871,0.49168472472806646
adaptive_x,26,0.0,0.42,0.11746704084107057,0.9992208597997146,0.48356890744800174
adaptive_x,27,0.0,0.35,0.23148194960542473,0.9710231091296537,0.4001240437125846
adaptive_x,28,0.0,0.3,0.11674409401419306,0.9998771920709649,0.49347613786280425
adaptive_x,29,0.0,0.65,0.2931888307708511,0.9998708757160161,0.5066895240168027
adaptive_x,30,0.0,0.36,0.4522639438899036,0.9570472405310959,0.621400002088303
adaptive_x,31,0.0,0.46,0.5177207258666809,0.9998537022937504,0.5071204780333878
adaptive_x,32,0.0,0.73,0.36049683820322664,0.9971574246747047,0.46862302855415183
adaptive_x,33,0.0,0.37,0.2680040797801959,0.9957382610299232,0.5384129045638202
adaptive_x,34,0.0,0.33,0.22474826572760118,0.8726434981987821,0.29306171919845014
adaptive_x,35,0.0,0.63,0.4959860177251574,0.993428105977838,0.5476884090289256
adaptive_x,36,0.0,0.61,0.28480293088216213,0.9935685651606765,0.5471768088957009
adaptive_x,37,0.0,0.24,0.44096472479757814,0.9035684688738035,0.6807459047532513
adaptive_x,38,0.0,0.43,0.2384033819387612,0.9992324380120583,0.4836914275921832
adaptive_x,39,0.0,0.35,0.4432340989340166,0.9985884718097484,0.5221142223122047
adaptive_x,40,0.0,0.66,0.737853314829457,0.9265460184112693,0.34181612513191767
adaptive_x,41,0.0,0.25,0.7204395422348635,0.992191655453706,0.44802615806035573
adaptive_x,42,0.0,0.65,0.4810986718947201,0.5735302401953943,0.8640510905382428
adaptive_x,43,0.0,0.48,0.4431508307426477,0.9688710648722059,0.6034922540620575
adaptive_x,44,0.0,0.26,0.42264671508758533,0.9857044239067161,0.5702714940287655
adaptive_x,45,0.0,0.34,1.0669886224034177,0.9851130447076284,0.5717053312418068
adaptive_x,46,0.0,0.38,0.3401720001394955,0.9485224897408575,0.6327686679182768
adaptive_x,47,0.0,0.49,0.3948667983473851,0.9989627655854139,0.4810423657299987
adaptive_x,48,0.0,0.34,0.11267478216019837,0.9992711367401731,0.4841077939079277
adaptive_x,49,0.0,0.56,0.31456756415844594,0.9997918572096283,0.5084931339880241
adaptive_x,50,0.0,0.91,0.8760988471416912,0.981143824322515,0.4193369277605357
adaptive_x,51,0.0,0.51,0.14348369233923897,0.9886729265897765,0.5625729957642243
adaptive_x,52,0.0,0.49,0.10557560205615038,0.9570264238378097,0.37857088109472203
adaptive_x,53,0.0,0.36,0.5020471180751441,0.9262926371674751,0.3415483167866459
adaptive_x,54,0.0,0.4,0.4478551975812075,0.9716354722522214,0.4011779332998361
adaptive_x,55,0.0,0.5,0.3810036608940189,0.9954251617510709,0.5397975061424443
adaptive_x,56,0.0,0.5,0.2975587398209927,0.9918148635714117,0.4467892560483354
adaptive_x,57,0.0,0.61,0.184652711602184,0.9995811061882027,0.48795161916496665
adaptive_x,58,0.0,0.39,0.1256519698581959,0.9997652943691282,0.5090187782962337
