axis,axis_value,estimator,trial,sign_error
sigma_obs,0.1,oracle_x,81,0.56
sigma_obs,0.1,oracle_x,82,0.56
sigma_obs,0.1,oracle_x,83,0.61
sigma_obs,0.1,oracle_x,84,0.54
sigma_obs,0.1,oracle_x,85,0.49
sigma_obs,0.1,oracle_x,86,0.52
sigma_obs,0.1,oracle_x,87,0.49
sigma_obs,0.1,oracle_x,88,0.48
sigma_obs,0.1,oracle_x,89,0.43
sigma_obs,0.1,oracle_x,90,0.48
sigma_obs,0.1,oracle_x,91,0.61
sigma_obs,0.1,oracle_x,92,0.48
sigma_obs,0.1,oracle_x,93,0.53
sigma_obs,0.1,oracle_x,94,0.47
sigma_obs,0.1,oracle_x,95,0.5
sigma_obs,0.1,oracle_x,96,0.48
sigma_obs,0.1,oracle_x,97,0.43
sigma_obs,0.1,oracle_x,98,0.54
sigma_obs,0.1,oracle_x,99,0.43
sigma_obs,0.1,xy_snapshot,0,0.17
sigma_obs,0.1,xy_snapshot,1,0.17
sigma_obs,0.1,xy_snapshot,2,0.23
sigma_obs,0.1,xy_snapshot,3,0.21
sigma_obs,0.1,xy_snapshot,4,0.28
sigma_obs,0.1,xy_snapshot,5,0.23
sigma_obs,0.1,xy_snapshot,6,0.29
sigma_obs,0.1,xy_snapshot,7,0.17
sigma_obs,0.1,xy_snapshot,8,0.28
sigma_obs,0.1,xy_snapshot,9,0.15
sigma_obs,0.1,xy_snapshot,10,0.19
sigma_obs,0.1,xy_snapshot,11,0.22
sigma_obs,0.1,xy_snapshot,12,0.23
sigma_obs,0.1,xy_snapshot,13,0.33
sigma_obs,0.1,xy_snapshot,14,0.15
sigma_obs,0.1,xy_snapshot,15,0.34
sigma_obs,0.1,xy_snapshot,16,0.27
sigma_obs,0.1,xy_snapshot,17,0.22
sigma_obs,0.1,xy_snapshot,18,0.28
sigma_obs,0.1,xy_snapshot,19,0.28
sigma_obs,0.1,xy_snapshot,20,0.04
sigma_obs,0.1,xy_snapshot,21,0.32
sigma_obs,0.1,xy_snapshot,22,0.26
sigma_obs,0.1,xy_snapshot,23,0.24
sigma_obs,0.1,xy_snapshot,24,0.22
sigma_obs,0.1,xy_snapshot,25,0.28
sigma_obs,0.1,xy_snapshot,26,0.27
sigma_obs,0.1,xy_snapshot,27,0.22
sigma_obs,0.1,xy_snapshot,28,0.23
sigma_obs,0.1,xy_snapshot,29,0.3
sigma_obs,0.1,xy_snapshot,30,0.29
sigma_obs,0.1,xy_snapshot,31,0.21
sigma_obs,0.1,xy_snapshot,32,0.26
sigma_obs,0.1,xy_snapshot,33,0.24
sigma_obs,0.1,xy_snapshot,34,0.33
sigma_obs,0.1,xy_snapshot,35,0.28
sigma_obs,0.1,xy_snapshot,36,0.28
sigma_obs,0.1,xy_snapshot,37,0.23
sigma_obs,0.1,xy_snapshot,38,0.26
sigma_obs,0.1,xy_snapshot,39,0.19
sigma_obs,0.1,xy_snapshot,40,0.19
sigma_obs,0.1,xy_snapshot,41,0.27
sigma_obs,0.1,xy_snapshot,42,0.27
sigma_obs,0.1,xy_snapshot,43,0.18
sigma_obs,0.1,xy_snapshot,44,0.24
sigma_obs,0.1,xy_snapshot,45,0.27
sigma_obs,0.1,xy_snapshot,46,0.23
sigma_obs,0.1,xy_snapshot,47,0.17
sigma_obs,0.1,xy_snapshot,48,0.28
sigma_obs,0.1,xy_snapshot,49,0.19
sigma_obs,0.1,xy_snapshot,50,0.24
sigma_obs,0.1,xy_snapshot,51,0.16
sigma_obs,0.1,xy_snapshot,52,0.24
sigma_obs,0.1,xy_snapshot,53,0.15
sigma_obs,0.1,xy_snapshot,54,0.28
sigma_obs,0.1,xy_snapshot,55,0.28
sigma_obs,0.1,xy_snapshot,56,0.23
sigma_obs,0.1,xy_snapshot,57,0.23
sigma_obs,0.1,xy_snapshot,58,0.13
sigma_obs,0.1,xy_snapshot,59,0.19
sigma_obs,0.1,xy_snapshot,60,0.29
sigma_obs,0.1,xy_snapshot,61,0.23
sigma_obs,0.1,xy_snapshot,62,0.21
sigma_obs,0.1,xy_snapshot,63,0.32
sigma_obs,0.1,xy_snapshot,64,0.22
sigma_obs,0.1,xy_snapshot,65,0.26
sigma_obs,0.1,xy_snapshot,66,0.18
sigma_obs,0.1,xy_snapshot,67,0.17
sigma_obs,0.1,xy_snapshot,68,0.3
sigma_obs,0.1,xy_snapshot,69,0.26
sigma_obs,0.1,xy_snapshot,70,0.34
sigma_obs,0.1,xy_snapshot,71,0.21
sigma_obs,0.1,xy_snapshot,72,0.22
sigma_obs,0.1,xy_snapshot,73,0.34
sigma_obs,0.1,xy_snapshot,74,0.21
sigma_obs,0.1,xy_snapshot,75,0.06
sigma_obs,0.1,xy_snapshot,76,0.08
sigma_obs,0.1,xy_snapshot,77,0.14
sigma_obs,0.1,xy_snapshot,78,0.3
sigma_obs,0.1,xy_snapshot,79,0.27
sigma_obs,0.1,xy_snapshot,80,0.2
sigma_obs,0.1,xy_snapshot,81,0.23
sigma_obs,0.1,xy_snapshot,82,0.15
sigma_obs,0.1,xy_snapshot,83,0.26
sigma_obs,0.1,xy_snapshot,84,0.32
sigma_obs,0.1,xy_snapshot,85,0.19
sigma_obs,0.1,xy_snapshot,86,0.12
sigma_obs,0.1,xy_snapshot,87,0.09
sigma_obs,0.1,xy_snapshot,88,0.33
sigma_obs,0.1,xy_snapshot,89,0.22
sigma_obs,0.1,xy_snapshot,90,0.27
sigma_obs,0.1,xy_snapshot,91,0.21
sigma_obs,0.1,xy_snapshot,92,0.29
sigma_obs,0.1,xy_snapshot,93,0.22
sigma_obs,0.1,xy_snapshot,94,0.23
sigma_obs,0.1,xy_snapshot,95,0.15
sigma_obs,0.1,xy_snapshot,96,0.13
