regime,theta_1,theta_2,c12,c21,trial,sign_error_q1,sign_error_q2
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,21,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,22,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,23,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,24,0.9133333333333333,0.9133333333333333
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,25,0.16,0.2
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,26,0.37333333333333335,0.2866666666666667
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,27,0.4066666666666667,0.4066666666666667
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,28,1.0,1.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,29,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,30,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,31,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,32,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,33,0.6266666666666667,0.6266666666666667
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,34,0.8733333333333333,0.8733333333333333
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,35,0.16666666666666666,0.16666666666666666
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,36,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,37,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,38,0.49333333333333335,0.5333333333333333
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,39,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,40,1.0,1.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,41,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,42,0.5866666666666667,0.5866666666666667
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,43,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,44,0.14,0.04666666666666667
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,45,0.8266666666666667,0.8266666666666667
